max_speed,density,rotary_method,velocity,std,std_error,ci_lower,ci_upper,n_samples,n_gridlocked,normality_p_value
1,0.05,0,1.8471335607940447,0.12824652647401846,0.018136797706679707,1.8106863012418788,1.8835808203462105,50,0,1.8110824451218704e-14
1,0.15,0,0.8881659575840815,0.6551312925457312,0.09264955590531888,0.7019797043057315,1.0743522108624313,50,11,4.502304953472865e-08
1,0.25,0,0.05356793465562577,0.06867587825932124,0.009712235844221567,0.034050466005919114,0.07308540330533242,50,14,9.793251306544905e-08
1,0.35,0,0.007716217714220255,0.012700377118523662,0.0017961045568269092,0.004106810473525912,0.011325624954914598,50,42,2.70730332695643e-09
1,0.45,0,0.002731384675590535,0.004234671867755479,0.0005988730387579604,0.0015279042467181985,0.003934865104462872,50,49,1.943427430870359e-09
1,0.55,0,0.00031400996656007077,0.0005784837449748526,8.180995577558152e-05,0.00014960670528282394,0.0004784132278373176,50,50,2.750230730962284e-10
3,0.05,0,1.8599941687344914,0.07992136300851918,0.011302587548999122,1.8372807686805375,1.8827075687884454,50,0,2.4295479276931177e-14
3,0.15,0,1.2912826599205565,0.37816026823348853,0.053479938008644694,1.1838107008151773,1.3987546190259357,50,1,3.4400301905152827e-11
3,0.25,0,0.07104844920964784,0.08429835181104031,0.011921587241687176,0.04709112270147742,0.09500577571781826,50,13,4.8598686097067345e-08
3,0.35,0,0.0025586083442258644,0.0049373486768428745,0.0006982465460956048,0.001155429375781117,0.003961787312670611,50,48,3.728899454678961e-11
3,0.45,0,0.0023006853745985018,0.0028231612320699915,0.0003992552903159319,0.0014983518298867598,0.0031030189193102437,50,50,6.555854583530025e-07
3,0.55,0,0.0002112093644029704,0.00030799804029543314,4.3557500577013654e-05,0.00012367728985216122,0.0002987414389537796,50,50,2.5953693733621605e-08
5,0.05,0,1.8782810794044664,0.0025586514091185354,0.0003618479524160463,1.8775539187196852,1.8790082400892476,50,0,1.1962960026733653e-05
5,0.15,0,1.409668106655643,0.21752123508946192,0.03076214807676634,1.3478492556396704,1.4714869576716154,50,0,6.017636736348456e-13
5,0.25,0,0.14774437475805072,0.16614430688202605,0.02349635321036388,0.10052668518366137,0.19496206433244007,50,12,3.4039672401419455e-06
5,0.35,0,0.0028238442848141755,0.004753391875224728,0.0006722311257216888,0.0014729452609363572,0.004174743308691994,50,47,3.2406623165764896e-10
5,0.45,0,0.003078042698315754,0.004130968044623425,0.0005842071034436313,0.001904034569880433,0.004252050826751076,50,49,6.386589317888306e-08
5,0.55,0,0.0006660634803723989,0.0007635647187172476,0.0001079843580959529,0.0004490607883454757,0.0008830661723993221,50,50,4.981511561568591e-06
