blocks_size,density,velocity,flow
32,0.05,0.9772757847533632,0.04933915770609319
32,0.1,0.9398543417366946,0.09324596774193548
32,0.15,0.8696265870052278,0.12880824372759858
32,0.2,0.7836152338280594,0.15468189964157705
32,0.25,0.6832302867383513,0.16185035842293907
32,0.3,0.6031161314413742,0.1657706093189964
32,0.35,0.5305424867978876,0.17321908602150538
32,0.4,0.4770638476617194,0.17114695340501793
32,0.45,0.427758556316117,0.16862679211469533
32,0.5,0.39203405017921156,0.17624327956989247
32,0.55,0.3513065173116089,0.16795474910394267
32,0.6,0.3214785774292915,0.15832213261648745
32,0.65,0.2957849388247458,0.16448252688172044
32,0.7,0.26946955756460517,0.16224238351254483
32,0.75,0.23930779569892477,0.15608198924731181
32,0.8,0.21109703164379728,0.1461133512544803
32,0.85,0.16911247282071554,0.12253584229390681
32,0.9,0.12213316739265713,0.10103046594982079
32,0.95,0.060327772210104345,0.05437948028673835
64,0.05,0.9886476426799007,0.049417162698412696
64,0.1,0.9570037220843672,0.09530009920634921
64,0.15,0.9185944605208765,0.1349826388888889
64,0.2,0.8249550387596899,0.16108630952380953
64,0.25,0.7348214285714285,0.16710069444444445
64,0.3,0.6638714344770565,0.17497519841269843
64,0.35,0.5881041814316087,0.16778273809523808
64,0.4,0.5404572934428772,0.17218501984126985
64,0.45,0.48320655918423583,0.1624503968253968
64,0.5,0.4466592261904762,0.16747271825396826
64,0.55,0.4056888387824127,0.16710069444444442
64,0.6,0.3755033071517156,0.16400049603174605
64,0.65,0.33634360393017265,0.1670386904761905
64,0.7,0.30875276818141556,0.1730530753968254
64,0.75,0.2763425925925926,0.16338045634920634
64,0.8,0.2463501782669353,0.1610863095238095
64,0.85,0.19675882696235777,0.1509796626984127
64,0.9,0.15143162245952463,0.12115575396825397
64,0.95,0.07999934730109001,0.0744047619047619
128,0.05,0.993156923076923,0.049643208661417325
128,0.1,0.9783082128575823,0.09661048228346457
128,0.15,0.9433941755537325,0.1383796751968504
128,0.2,0.8803860350661336,0.15566560039370078
128,0.25,0.8214862204724409,0.16640009842519685
128,0.3,0.764142315185071,0.16916830708661418
128,0.35,0.7159811934264873,0.16643085629921262
128,0.4,0.6628806521070438,0.16581569881889763
128,0.45,0.6105311004784688,0.16864542322834647
128,0.5,0.5625885826771654,0.16824557086614172
128,0.55,0.5137011352832616,0.167845718503937
128,0.6,0.46880401907007735,0.16670767716535434
128,0.65,0.42151760363429863,0.1648314468503937
128,0.7,0.3725415238597416,0.16806102362204725
128,0.75,0.328939468503937,0.16052534448818898
128,0.8,0.28080203006651544,0.1652312992125984
128,0.85,0.22880911887099692,0.15987942913385828
128,0.9,0.17371086807928918,0.14308562992125984
128,0.95,0.09150747911675192,0.08479945866141732
256,0.05,0.9963786764705883,0.049708946078431376
256,0.1,0.9885431985294117,0.09836090686274511
256,0.15,0.9708220996732027,0.14373468137254902
256,0.2,0.9466191789215688,0.1806372549019608
256,0.25,0.9123737745098041,0.209359681372549
256,0.3,0.8851919934640522,0.23270526960784313
256,0.35,0.8552897408963586,0.24825367647058824
256,0.4,0.8240870098039217,0.2630667892156863
256,0.45,0.7924622140522873,0.2689797794117647
256,0.5,0.7525713848039216,0.26121323529411766
256,0.55,0.7069242981283423,0.24140625000000002
256,0.6,0.6594161049836602,0.20894607843137253
256,0.65,0.5929652149321267,0.18252144607843138
256,0.7,0.5165751925770309,0.17152267156862744
256,0.75,0.4403325163398693,0.17977941176470588
256,0.8,0.3586255361519608,0.18904718137254903
256,0.85,0.2781832107843137,0.18287377450980394
256,0.9,0.19255718954248363,0.1573988970588235
256,0.95,0.09791537667698655,0.09105392156862745
