speed_percentage,density,velocity
0,0.1,2.3522233250620346
25,0.1,2.1422928039702236
50,0.1,1.927545905707196
75,0.1,1.7305558312655087
100,0.1,1.547801488833747
0,0.15,2.092735841256718
25,0.15,1.8558197602315005
50,0.15,1.6598875568416702
75,0.15,1.4200512608515914
100,0.15,1.2192691194708556
0,0.2,1.811455503875969
25,0.2,1.597468527131783
50,0.2,1.4054772093023256
75,0.2,1.1923472868217055
100,0.2,1.0054226356589147
0,0.25,1.5457321428571429
25,0.25,1.3924434523809524
50,0.25,1.1946289682539681
75,0.25,1.0170099206349208
100,0.25,0.8512718253968254
0,0.3,1.3762662257131046
25,0.3,1.2069375775113682
50,0.3,1.0710177759404713
75,0.3,0.9153980983877636
100,0.3,0.7542521703183134
0,0.35,1.203152374202693
25,0.35,1.0802863217576186
50,0.35,0.9537150956768251
75,0.35,0.8171070163004962
100,0.35,0.6858575478384126
0,0.4,1.1031840024802355
25,0.4,0.9811278871492792
50,0.4,0.848016741590451
75,0.4,0.7457336847000464
100,0.4,0.6254137343047589
0,0.45,1.0091801019705113
25,0.45,0.8906727297781453
50,0.45,0.7887639520463001
75,0.45,0.6885633181755546
100,0.45,0.5757861375223922
0,0.5,0.9284409722222223
25,0.5,0.8382539682539683
50,0.5,0.7370109126984128
75,0.5,0.6550431547619047
100,0.5,0.5507247023809523
0,0.55,0.8539544532130778
25,0.55,0.7696410372040586
50,0.55,0.6974254791431792
75,0.55,0.6113312288613304
100,0.55,0.5159549041713642
0,0.6,0.7918987184787102
25,0.6,0.7260376188507647
50,0.6,0.6481802397684994
75,0.6,0.573569243489045
100,0.6,0.492426209177346
0,0.65,0.7509655632929504
25,0.65,0.6826904512067156
50,0.65,0.613060383478012
75,0.65,0.5375449775827531
100,0.65,0.4686444720022894
0,0.7,0.6966367260164761
25,0.7,0.6365194437062628
50,0.7,0.5746074940207282
75,0.7,0.5131983346620604
100,0.7,0.4525853485694039
0,0.75,0.6465115740740741
25,0.75,0.5931385582010582
50,0.75,0.5400125661375661
75,0.75,0.4849986772486773
100,0.75,0.4184904100529101
0,0.8,0.5993557587970857
25,0.8,0.5398006510618509
50,0.8,0.48754549682219805
75,0.8,0.4425459618663773
100,0.8,0.3882436831498992
0,0.85,0.5131190545666764
25,0.85,0.4643656259118763
50,0.85,0.4298864896410855
75,0.85,0.39087131601984243
100,0.85,0.3439241318937846
0,0.9,0.40122824664140544
25,0.9,0.3718492593868412
50,0.9,0.3259819497071994
75,0.9,0.2974715811229762
100,0.9,0.2631063038236307
